,Pud Thai Vs Pho,Hungry Jack s,The Comics Lounge,Fat Face Food,Saddles@HQ,McDonalds,Eat & Grab,Coffee Hq,Australian Education Academy Cafe ,Subway Vic Harbour
Gi Gi Japanese Sushi,0.01611037972903395,0.016230505751251408,0.01683118482359821,0.023518064682223904,0.055631927702569285,0.007964419210237404,0.015793337215917656,0.0027247091807033924,0.03622734977342754,0.022888852438735598
The Oxford Scholar Hotel,0.01776507184378161,0.020206220660175526,0.013548556188844589,0.020442364639188665,0.05202823662729011,0.010989992382934242,0.0190103563363083,0.0027350011434679493,0.032437746228545006,0.02278415830119647
The Westin Melbourne On Regent Place,0.0164697462951772,0.013290545600539782,0.020817198443708856,0.027333549627448977,0.0596431277411792,0.005807082508359143,0.012589968785644065,0.006439453434947035,0.04035883941625471,0.02462603520040121
Guggenheim Cafe,0.021824796230944493,0.016456882631294963,0.025110212861858217,0.03186924466568734,0.06380419468447007,0.0014351867232048527,0.007410200616754978,0.009086449297458948,0.044247680683925136,0.030120206707731443
Sweet Mamas Cafe,0.017342053655513594,0.015523877763808881,0.019337509135334264,0.02602865434629545,0.05812741188639863,0.005609714427617387,0.013310801621899777,0.004110306206860147,0.03869143245905394,0.024794535244052937
St James Take Away Food,0.008394325936658082,0.01369255168211349,0.014174765310550983,0.019614656454554364,0.05206476711166139,0.015182379364369615,0.02217489081817273,0.00998280679568544,0.03359931903451601,0.015083845676354941
Tengu Sushi Cafe,0.008394325936658082,0.01369255168211349,0.014174765310550983,0.019614656454554364,0.05206476711166139,0.015182379364369615,0.02217489081817273,0.00998280679568544,0.03359931903451601,0.015083845676354941
Isseki,0.017651722947568393,0.01633671324344942,0.018751546999936385,0.025496178066788635,0.05749912832954822,0.005890571651022291,0.013767534700577013,0.0032325631738912178,0.03801592531002299,0.024818266488112813
Cafe Paci,0.005598838111260705,0.012376441266309266,0.015603824448975078,0.020330351583685288,0.052507155124788506,0.017208470879706922,0.02370604683094912,0.01271353526765326,0.03454395935784569,0.0132782807731859
Alfreds Place,0.019857047159668215,0.01602491930252689,0.022417557362136527,0.02916690942343382,0.06113949008415567,0.002486751378346579,0.010109576611168307,0.006510140334820773,0.04161529734654684,0.027775473588732988
Cravings Sandwich Bar,0.013005484761574457,0.011534118924908425,0.0189962479536889,0.02517081037045534,0.05764761210758054,0.009278098094776423,0.015789113478003023,0.007435053574862603,0.03867008213538281,0.02124479125552839
The 9th Ward,0.013005484761574457,0.011534118924908425,0.0189962479536889,0.02517081037045534,0.05764761210758054,0.009278098094776423,0.015789113478003023,0.007435053574862603,0.03867008213538281,0.02124479125552839
Rose Garden Barbecue Shop,0.016063215825973063,0.02010143566913404,0.011264794528226965,0.01809080151159317,0.049973670046675495,0.013181064714471561,0.02118749940425457,0.005044952957953648,0.03051424321454375,0.020390637144185014
Salon Rouge,0.012468068721574186,0.011010811807534361,0.019087329856764448,0.025170319522358868,0.05766249868068666,0.009808602640315052,0.016154383237938868,0.008003788579180904,0.0387602531301625,0.02084120319163327
Da Marconi Pizza,0.01765966149649709,0.013034061929022091,0.02267654506825127,0.029200021362344168,0.06150384246082554,0.004888746062873344,0.01089793853529596,0.00790309652621734,0.04219953062609108,0.02614723921547484
Wrapt Cuisine,0.013186056004612449,0.016580009355032878,0.013179574310030024,0.019624416954939692,0.051975259982647286,0.012220214084605096,0.019944446982039992,0.0054561311712438085,0.03281581025684876,0.018904568909929496
Coffee First,0.013923051382958886,0.01662210880999874,0.013821640993120242,0.020361462466544893,0.05264525504229787,0.011318521882000592,0.01909127904403246,0.004554776794706887,0.033404555027674865,0.01983762115883598
Helvetica,0.010975789419784656,0.018059128562608096,0.009864205114821386,0.015666738849976714,0.048164376317651136,0.016851255618408036,0.0244894819909353,0.009793896013981868,0.02942337534815962,0.014718085504883675
Saki Sushi Bar,0.023064285193585773,0.01856083987176196,0.024605091520406127,0.03146261074783252,0.06306184276803789,0.00095258775719788,0.00799638066236206,0.008371033222947412,0.043399588798567014,0.03090804076839395
City Baths Cafe,0.01923948669033182,0.021648247180989778,0.01368295916589702,0.020607774714255195,0.05179823918871084,0.01131830873037689,0.019275064687307813,0.003363536367935459,0.03211860297039442,0.023951735814079927
Sarti,0.017518195225993256,0.01520426118849134,0.019968394010855258,0.026644221972044625,0.05876562310770124,0.005150287057413487,0.012737543364591581,0.004722815192913394,0.0393383619597077,0.025154627741485743
Chriss Daily Grind,0.009794112698342369,0.01483351694351233,0.01326216125996344,0.0190250601436197,0.051522217577576586,0.014554944725052517,0.021833960932859765,0.008755420262048511,0.032835658979628875,0.015869607351945623
Langtons Restaurant,0.021447565636088795,0.016106126587570834,0.02490306933775922,0.031644643805934694,0.0636225258106797,0.0016504949870318102,0.007671997043391041,0.008942991665599052,0.04408592357105595,0.0297678240513048
